subjects,pre_processing,pre_ica,pre_remaining,int_preprocessing,int_ica,int_remaining
sub-01,29,3,128,4,0,36
sub-02,37,14,109,12,2,26
sub-03,52,6,102,10,1,29
sub-04,51,6,108,9,2,29
sub-05,37,5,118,10,2,28
sub-06,14,12,134,8,3,29
sub-07,38,2,120,,,
sub-08,69,7,84,10,4,26
sub-09,30,4,126,7,4,29
sub-10,35,6,119,13,3,24
sub-11,56,4,100,11,1,28
sub-12,41,11,108,13,4,23
sub-13,31,11,118,10,7,23
sub-14,89,4,67,12,9,19
sub-15,41,12,107,10,4,26
sub-16,92,4,64,13,5,22
sub-17,29,30,101,,,
sub-18,29,7,124,7,7,26
sub-19,18,4,138,10,2,28
sub-20,27,2,131,8,3,29
sub-21,31,16,113,11,5,24
